vendor,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,pickup_zone,dropoff_zone,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
VeriFone Inc.,11/17/2021 04:17:13 PM,11/17/2021 04:21:36 PM,3.0,0.59,Standard rate,N,263,236,Credit card,4.5,1.0,0.5,1.5,0.0,0.3,10.3,2.5
VeriFone Inc.,11/10/2021 07:24:01 AM,11/10/2021 07:33:42 AM,1.0,1.47,Standard rate,N,48,164,Credit card,8.5,0.0,0.5,2.95,0.0,0.3,14.75,2.5
VeriFone Inc.,11/10/2021 01:18:20 AM,11/10/2021 01:26:40 AM,1.0,2.39,Standard rate,N,186,144,Credit card,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
VeriFone Inc.,11/28/2021 07:57:30 PM,11/28/2021 08:09:43 PM,1.0,2.56,Standard rate,N,261,158,Credit card,11.0,0.0,0.5,3.0,0.0,0.3,17.3,2.5
VeriFone Inc.,11/16/2021 08:35:57 PM,11/16/2021 08:44:45 PM,1.0,1.36,Standard rate,N,164,90,Credit card,7.5,0.5,0.5,3.39,0.0,0.3,14.69,2.5
"Creative Mobile Technologies, LLC",11/07/2021 01:00:07 AM,11/07/2021 01:03:22 AM,1.0,0.6,Standard rate,N,230,48,Credit card,4.0,3.0,0.5,1.95,0.0,0.3,9.75,2.5
VeriFone Inc.,11/04/2021 09:40:15 PM,11/04/2021 09:45:22 PM,3.0,0.81,Standard rate,N,262,140,Credit card,5.5,0.5,0.5,2.79,0.0,0.3,12.09,2.5
VeriFone Inc.,11/18/2021 03:20:37 PM,11/18/2021 03:42:29 PM,5.0,1.97,Standard rate,N,163,236,Credit card,14.5,0.0,0.5,3.56,0.0,0.3,21.36,2.5
VeriFone Inc.,11/06/2021 01:48:04 PM,11/06/2021 02:00:37 PM,1.0,0.99,Standard rate,N,164,68,Credit card,9.0,0.0,0.5,1.84,0.0,0.3,14.14,2.5
"Creative Mobile Technologies, LLC",11/12/2021 01:44:35 AM,11/12/2021 01:53:59 AM,1.0,2.0,Standard rate,N,48,170,Cash,9.0,3.0,0.5,0.0,0.0,0.3,12.8,2.5
"Creative Mobile Technologies, LLC",11/13/2021 06:53:13 PM,11/13/2021 07:17:24 PM,1.0,2.0,Standard rate,N,144,87,Credit card,15.5,2.5,0.5,3.75,0.0,0.3,22.55,2.5
"Creative Mobile Technologies, LLC",11/06/2021 09:58:01 AM,11/06/2021 10:20:11 AM,4.0,5.8,Standard rate,N,231,239,Credit card,21.0,2.5,0.5,6.05,0.0,0.3,30.35,2.5
VeriFone Inc.,11/13/2021 04:20:14 PM,11/13/2021 04:29:52 PM,3.0,0.87,Standard rate,N,170,164,Cash,7.5,0.0,0.5,0.0,0.0,0.3,10.8,2.5
"Creative Mobile Technologies, LLC",11/20/2021 10:18:55 PM,11/20/2021 10:38:04 PM,1.0,3.1,Standard rate,N,230,158,Credit card,13.5,3.0,0.5,3.45,0.0,0.3,20.75,2.5
"Creative Mobile Technologies, LLC",11/02/2021 11:30:34 PM,11/02/2021 11:39:56 PM,1.0,2.6,Standard rate,N,48,238,Credit card,10.0,3.0,0.5,2.75,0.0,0.3,16.55,2.5
VeriFone Inc.,11/06/2021 11:09:57 PM,11/06/2021 11:36:47 PM,3.0,5.67,Standard rate,N,142,261,Cash,22.0,0.5,0.5,0.0,0.0,0.3,25.8,2.5
VeriFone Inc.,11/12/2021 07:13:57 PM,11/12/2021 07:28:25 PM,2.0,1.66,Standard rate,N,142,229,Credit card,10.0,1.0,0.5,5.0,0.0,0.3,19.3,2.5
VeriFone Inc.,11/21/2021 01:54:03 AM,11/21/2021 02:02:29 AM,1.0,2.9,Standard rate,N,107,237,Credit card,10.5,0.5,0.5,2.86,0.0,0.3,17.16,2.5
VeriFone Inc.,11/08/2021 08:49:16 PM,11/08/2021 08:53:13 PM,1.0,0.81,Standard rate,N,114,113,Credit card,5.0,0.5,0.5,2.2,0.0,0.3,11.0,2.5
"Creative Mobile Technologies, LLC",11/27/2021 06:07:24 PM,11/27/2021 06:24:11 PM,2.0,3.4,Standard rate,N,13,246,Cash,14.0,2.5,0.5,0.0,0.0,0.3,17.3,2.5
"Creative Mobile Technologies, LLC",11/05/2021 09:00:25 AM,11/05/2021 09:15:48 AM,1.0,2.7,Standard rate,N,186,141,Cash,12.0,2.5,0.5,0.0,0.0,0.3,15.3,2.5
VeriFone Inc.,11/06/2021 11:06:06 AM,11/06/2021 11:35:51 AM,1.0,4.28,Standard rate,N,13,164,Credit card,21.0,0.0,0.5,4.86,0.0,0.3,29.16,2.5
VeriFone Inc.,11/19/2021 05:33:24 PM,11/19/2021 05:47:11 PM,4.0,2.03,Standard rate,N,234,162,Credit card,10.5,1.0,0.5,1.0,0.0,0.3,15.8,2.5
VeriFone Inc.,11/09/2021 01:31:10 PM,11/09/2021 01:40:29 PM,1.0,2.11,Standard rate,N,231,246,Credit card,9.5,0.0,0.5,0.0,0.0,0.3,12.8,2.5
VeriFone Inc.,11/18/2021 08:25:07 PM,11/18/2021 08:41:28 PM,1.0,3.53,Standard rate,N,186,239,Credit card,13.5,0.5,0.5,4.33,0.0,0.3,21.63,2.5
VeriFone Inc.,11/18/2021 01:07:18 PM,11/18/2021 01:18:44 PM,1.0,0.61,Standard rate,N,233,161,Credit card,8.0,0.0,0.5,2.83,0.0,0.3,14.13,2.5
VeriFone Inc.,11/25/2021 09:41:16 PM,11/25/2021 09:47:31 PM,1.0,1.3,Standard rate,N,24,238,Credit card,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
"Creative Mobile Technologies, LLC",11/17/2021 09:34:43 PM,11/17/2021 09:44:02 PM,1.0,1.9,Standard rate,N,236,142,Credit card,9.0,3.0,0.5,2.55,0.0,0.3,15.35,2.5
VeriFone Inc.,11/08/2021 10:23:42 AM,11/08/2021 10:42:42 AM,1.0,2.96,Standard rate,N,125,162,Credit card,14.0,0.0,0.5,2.0,0.0,0.3,19.3,2.5
"Creative Mobile Technologies, LLC",11/22/2021 06:51:00 PM,11/22/2021 06:56:03 PM,1.0,0.6,Standard rate,N,236,263,Credit card,5.0,3.5,0.5,2.3,0.0,0.3,11.6,2.5
"Creative Mobile Technologies, LLC",11/08/2021 09:37:39 PM,11/08/2021 09:53:17 PM,1.0,3.0,Standard rate,N,249,170,Credit card,13.0,3.0,0.5,0.0,0.0,0.3,16.8,2.5
VeriFone Inc.,11/16/2021 05:34:39 PM,11/16/2021 05:58:44 PM,1.0,2.83,Standard rate,N,161,211,Cash,16.0,1.0,0.5,0.0,0.0,0.3,20.3,2.5
VeriFone Inc.,11/09/2021 05:33:53 PM,11/09/2021 05:54:52 PM,1.0,2.19,Standard rate,N,246,233,Cash,13.5,1.0,0.5,0.0,0.0,0.3,17.8,2.5
VeriFone Inc.,11/15/2021 05:53:26 PM,11/15/2021 06:11:17 PM,1.0,1.95,Standard rate,N,263,140,Credit card,12.5,1.0,0.5,3.36,0.0,0.3,20.16,2.5
"Creative Mobile Technologies, LLC",11/06/2021 05:12:30 PM,11/06/2021 05:32:15 PM,1.0,2.7,Standard rate,N,239,68,Credit card,13.5,2.5,0.5,3.35,0.0,0.3,20.15,2.5
VeriFone Inc.,11/13/2021 05:16:22 PM,11/13/2021 05:18:43 PM,1.0,0.4,Standard rate,N,90,90,Credit card,3.5,0.0,0.5,1.36,0.0,0.3,8.16,2.5
"Creative Mobile Technologies, LLC",11/26/2021 04:17:46 PM,11/26/2021 04:23:01 PM,4.0,0.9,Standard rate,N,142,239,Credit card,5.5,3.5,0.5,1.0,0.0,0.3,10.8,2.5
VeriFone Inc.,11/04/2021 07:18:00 PM,11/04/2021 07:31:00 PM,6.0,1.57,Standard rate,N,236,229,Credit card,10.0,1.0,0.5,1.0,0.0,0.3,15.3,2.5
VeriFone Inc.,11/16/2021 10:11:17 AM,11/16/2021 10:28:04 AM,2.0,1.36,Standard rate,N,236,237,Credit card,11.0,0.0,0.5,2.86,0.0,0.3,17.16,2.5
VeriFone Inc.,11/17/2021 08:18:50 AM,11/17/2021 08:28:23 AM,5.0,1.69,Standard rate,N,43,161,Credit card,8.5,0.0,0.5,2.2,0.0,0.3,14.0,2.5
VeriFone Inc.,11/01/2021 11:54:36 AM,11/01/2021 11:59:27 AM,2.0,1.21,Standard rate,N,231,125,Credit card,6.0,0.0,0.5,2.0,0.0,0.3,11.3,2.5
